id;tcode;fred;Description
94;1;TB3SMFFM;3-Month Treasury C Minus FEDFUNDS
95;1;TB6SMFFM;6-Month Treasury C Minus FEDFUNDS
96;1;T1YFFM;1-Year Treasury C Minus FEDFUNDS
97;1;T5YFFM;5-Year Treasury C Minus FEDFUNDS
98;1;T10YFFM;10-Year Treasury C Minus FEDFUNDS
99;1;AAAFFM;Moody’s Aaa Corporate Bond Minus FEDFUNDS
100;1;BAAFFM;Moody’s Baa Corporate Bond Minus FEDFUNDS
101;5;TWEXMMTH;Trade Weighted U.S. Dollar Index: Major Curr
102;5;EXSZUSx;Switzerland / U.S. Foreign Exchange Rate
103;5;EXJPUSx;Japan / U.S. Foreign Exchange Rate
104;5;EXUSUKx;U.S. / U.K. Foreign Exchange Rate
105;5;EXCAUSx;Canada / U.S. Foreign Exchange Rate
106;6;PPIFGS;PPI: Finished Goods
107;6;PPIFCG;PPI: Finished Consumer Goods
108;6;PPIITM;PPI: Intermediate Materials
109;6;PPICRM;PPI: Crude Materials
110;6;OILPRICEx;Crude Oil, spliced WTI and Cushing
111;6;PPICMM;PPI: Metals and metal products:
112;1;NAPMPRI;ISM Manufacturing: Prices Index
113;6;CPIAUCSL;CPI : All Items
114;6;CPIAPPSL;CPI : Apparel
115;6;CPITRNSL;CPI : Transportation
116;6;CPIMEDSL;CPI : Medical Care
117;6;CUSR0000SAC;CPI : Commodities
118;6;CUUR0000SAD;CPI : Durables
119;6;CUSR0000SAS;CPI : Services
120;6;CPIULFSL;CPI : All Items Less Food
121;6;CUUR0000SA0L2;CPI : All items less shelter
122;6;CUSR0000SA0L5;CPI : All items less medical care
123;6;PCEPI;Personal Cons. Expend.: Chain Index
124;6;DDURRG3M086SBE;Personal Cons. Exp: Durable goods
125;6;DNDGRG3M086SBE;Personal Cons. Exp: Nondurable goods
126;6;DSERRG3M086SBE;Personal Cons. Exp: Services
80;5;S&P 500;S&P’s Common Stock Price Index: Composite
81;5;S&P: indust;S&P’s Common Stock Price Index: Industrials
82;2;S&P div yield;S&P’s Composite Common Stock: Dividend Yield
83;5;S&P PE ratio;S&P’s Composite Common Stock: Price-Earnings Ratio
